scenario,checkpoint_interval,payload_size,repeat_id,ticket_seq,client_seq,server_seq,recovery_floor,ticket_last_seq,server_last_seq_before,server_last_seq_after,server_last_mem_before,server_last_mem_after,request_auth_ok,response_auth_ok,response_verify_reason,nonce_match,nonce_consumed,race_winner_count,state_unchanged,success,reason,recovery_latency_ms
old_ticket_within_window,50,128,15,100,100,149,100,100,149,149,698408fd8075ce707f143f7e13ef22b5dfa79cef0057512e7d419b0b80dd074c,698408fd8075ce707f143f7e13ef22b5dfa79cef0057512e7d419b0b80dd074c,True,True,ok,True,True,0,True,True,ok,0.209
below_floor,50,128,15,100,100,200,200,100,200,200,828f9a42c9fa120353e911782c02e4bf8bae68dafc06d7eb4592f9f8751491f7,828f9a42c9fa120353e911782c02e4bf8bae68dafc06d7eb4592f9f8751491f7,True,True,ok,True,False,0,True,False,memory_ticket invalid: rollback detected: ticket last_seq is older than required,0.133
control,50,128,16,100,100,100,100,100,100,100,e27aa3477ebe18d4c5f1d959211aa71805e4c2319e777138feda5096d890dd56,e27aa3477ebe18d4c5f1d959211aa71805e4c2319e777138feda5096d890dd56,True,True,ok,True,True,0,True,True,ok,0.188
ack_loss,50,128,16,100,100,149,100,100,149,149,6a44010beb3380b8f5f11757f55f2a448cf896a20dd097e75ca7e444f745f51c,6a44010beb3380b8f5f11757f55f2a448cf896a20dd097e75ca7e444f745f51c,True,True,ok,True,True,0,True,True,ok,0.207
old_ticket_within_window,50,128,16,100,100,149,100,100,149,149,83031a83f536d6e0a8f9ed1cc509540f703692ffa1b559600a45f199aee961c8,83031a83f536d6e0a8f9ed1cc509540f703692ffa1b559600a45f199aee961c8,True,True,ok,True,True,0,True,True,ok,0.18
below_floor,50,128,16,100,100,200,200,100,200,200,a83d394e08e8018f67079bd82e7b8d18059ce365694c1ffc6a547907d5b9e762,a83d394e08e8018f67079bd82e7b8d18059ce365694c1ffc6a547907d5b9e762,True,True,ok,True,False,0,True,False,memory_ticket invalid: rollback detected: ticket last_seq is older than required,0.136
control,50,128,17,100,100,100,100,100,100,100,d686d9bea13cd7e0daa1517e4fdd02e80939df1825441ec3d0214028a049700c,d686d9bea13cd7e0daa1517e4fdd02e80939df1825441ec3d0214028a049700c,True,True,ok,True,True,0,True,True,ok,0.192
ack_loss,50,128,17,100,100,149,100,100,149,149,ab64b936c32ddff64649711644dc894e64221362751b087bd18b5f48901aa885,ab64b936c32ddff64649711644dc894e64221362751b087bd18b5f48901aa885,True,True,ok,True,True,0,True,True,ok,0.201
old_ticket_within_window,50,128,17,100,100,149,100,100,149,149,dd7ae8a3758cbd202f3ba743f879c2253d46d9e5d2a86fabea8496fe21e80da8,dd7ae8a3758cbd202f3ba743f879c2253d46d9e5d2a86fabea8496fe21e80da8,True,True,ok,True,True,0,True,True,ok,0.203
below_floor,50,128,17,100,100,200,200,100,200,200,0ebfac0464fe80877f6fa9f8f6068601f31a400ee7fc90a2a2ae4bc52692ccbf,0ebfac0464fe80877f6fa9f8f6068601f31a400ee7fc90a2a2ae4bc52692ccbf,True,True,ok,True,False,0,True,False,memory_ticket invalid: rollback detected: ticket last_seq is older than required,0.15
control,50,128,18,100,100,100,100,100,100,100,a04f55154165c52bae7624425dbd2ec3bf69ae931f0189dc4d00270eb57367bb,a04f55154165c52bae7624425dbd2ec3bf69ae931f0189dc4d00270eb57367bb,True,True,ok,True,True,0,True,True,ok,0.205
ack_loss,50,128,18,100,100,149,100,100,149,149,224dde6437f84eafdcfca085fa934d3e67771370b842cf483c2d614888c9eb45,224dde6437f84eafdcfca085fa934d3e67771370b842cf483c2d614888c9eb45,True,True,ok,True,True,0,True,True,ok,0.25
old_ticket_within_window,50,128,18,100,100,149,100,100,149,149,db064f71001955fc179a0a1fe96e2410ea6ec9a65adae7c294e4749d00ffdb3d,db064f71001955fc179a0a1fe96e2410ea6ec9a65adae7c294e4749d00ffdb3d,True,True,ok,True,True,0,True,True,ok,0.167
below_floor,50,128,18,100,100,200,200,100,200,200,eca029cf93955796762895d532859d58cda16c8c7b8a25cec227c4d3a00188f3,eca029cf93955796762895d532859d58cda16c8c7b8a25cec227c4d3a00188f3,True,True,ok,True,False,0,True,False,memory_ticket invalid: rollback detected: ticket last_seq is older than required,0.156
control,50,128,19,100,100,100,100,100,100,100,40a8bc2b9da5ab8c507afc0887b33ac0cd577814e6c09289bcf4178c6eb55c4c,40a8bc2b9da5ab8c507afc0887b33ac0cd577814e6c09289bcf4178c6eb55c4c,True,True,ok,True,True,0,True,True,ok,0.215
ack_loss,50,128,19,100,100,149,100,100,149,149,a6d961c8f6881e144c50de61f5f77c4e44bdc51182e40af9584ce62466f89250,a6d961c8f6881e144c50de61f5f77c4e44bdc51182e40af9584ce62466f89250,True,True,ok,True,True,0,True,True,ok,0.178
old_ticket_within_window,50,128,19,100,100,149,100,100,149,149,7e39dececadcc0f0a5ec10b7e115c3d09d94c478e3a5a566f10f351619d2b5ee,7e39dececadcc0f0a5ec10b7e115c3d09d94c478e3a5a566f10f351619d2b5ee,True,True,ok,True,True,0,True,True,ok,0.278
below_floor,50,128,19,100,100,200,200,100,200,200,cc5f7e3aeed28af19768d0a023ffbff363a47f4fdc3c9631bea6f880df5d9da4,cc5f7e3aeed28af19768d0a023ffbff363a47f4fdc3c9631bea6f880df5d9da4,True,True,ok,True,False,0,True,False,memory_ticket invalid: rollback detected: ticket last_seq is older than required,0.168
control,50,128,20,100,100,100,100,100,100,100,8163fb3dd310ca13f851b1853361629243361433889b9f3edc51f7c5d71ea93b,8163fb3dd310ca13f851b1853361629243361433889b9f3edc51f7c5d71ea93b,True,True,ok,True,True,0,True,True,ok,0.245
ack_loss,50,128,20,100,100,149,100,100,149,149,4089d4b11c776190db2af80e24c2f03bde39cd4b4d1e65c674893d58cdf48b63,4089d4b11c776190db2af80e24c2f03bde39cd4b4d1e65c674893d58cdf48b63,True,True,ok,True,True,0,True,True,ok,0.19
old_ticket_within_window,50,128,20,100,100,149,100,100,149,149,24dedac55dd9c1052ee60806b803879d06bc9bcc6a67ac9006d170c443adf177,24dedac55dd9c1052ee60806b803879d06bc9bcc6a67ac9006d170c443adf177,True,True,ok,True,True,0,True,True,ok,0.235
below_floor,50,128,20,100,100,200,200,100,200,200,1e9c539265a1666f94a6cd10eca08a57dc9f2c54ac099af0fa8f3e40f49d04d9,1e9c539265a1666f94a6cd10eca08a57dc9f2c54ac099af0fa8f3e40f49d04d9,True,True,ok,True,False,0,True,False,memory_ticket invalid: rollback detected: ticket last_seq is older than required,0.228
control,50,128,21,100,100,100,100,100,100,100,9b898076afb379e849ef6ed1aa0cce1866c4592139cbe98afd27431e562ee9f0,9b898076afb379e849ef6ed1aa0cce1866c4592139cbe98afd27431e562ee9f0,True,True,ok,True,True,0,True,True,ok,0.196
ack_loss,50,128,21,100,100,149,100,100,149,149,e8329b30b7b2af915af0d67fe2558bbb6cd7e78be21ba7287f1ae0854e61da05,e8329b30b7b2af915af0d67fe2558bbb6cd7e78be21ba7287f1ae0854e61da05,True,True,ok,True,True,0,True,True,ok,0.205
old_ticket_within_window,50,128,21,100,100,149,100,100,149,149,9e5fb7f4b6fa68eabb962fd47dd6759ca3de3ac5a08d6f4ddb078beeb109a555,9e5fb7f4b6fa68eabb962fd47dd6759ca3de3ac5a08d6f4ddb078beeb109a555,True,True,ok,True,True,0,True,True,ok,0.211
below_floor,50,128,21,100,100,200,200,100,200,200,92163ac5a5d4a28427bcd52efeceab009316681aff452ecd2688e4075ae76f8b,92163ac5a5d4a28427bcd52efeceab009316681aff452ecd2688e4075ae76f8b,True,True,ok,True,False,0,True,False,memory_ticket invalid: rollback detected: ticket last_seq is older than required,0.143
control,50,128,22,100,100,100,100,100,100,100,6c0d801ea0314a896effa3c41bdd577397069d70ba98c4c997d66330326116f8,6c0d801ea0314a896effa3c41bdd577397069d70ba98c4c997d66330326116f8,True,True,ok,True,True,0,True,True,ok,0.185
ack_loss,50,128,22,100,100,149,100,100,149,149,a454c4d68402a73846ed1e65d25d91f7c4ab65c4c324ad8bd3e41956ca100151,a454c4d68402a73846ed1e65d25d91f7c4ab65c4c324ad8bd3e41956ca100151,True,True,ok,True,True,0,True,True,ok,0.216
